dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-12.651205,0.312822,12.760346,2.989725,1.096821,87.966064,2.289691
0.020000,-12.689801,0.359789,12.821138,3.039582,2.492853,69.801635,2.228280
0.020000,-12.726316,0.410095,12.883299,3.108047,3.423277,46.521174,2.169840
0.020000,-12.760741,0.463661,12.946973,3.183724,3.783816,18.026959,2.115007
0.020000,-12.792997,0.520211,13.012076,3.255122,3.569934,-10.694089,2.064170
0.020000,-12.822976,0.579282,13.078319,3.312141,2.850917,-35.950889,2.017504
0.020000,-12.850617,0.640347,13.145348,3.351455,1.965694,-44.261139,1.974958
0.020000,-12.875940,0.702928,13.212859,3.375561,1.205309,-38.019244,1.936293
0.020000,-12.899007,0.766581,13.280562,3.385178,0.480834,-36.223758,1.901202
0.020000,-12.919901,0.830869,13.348160,3.379900,-0.263900,-37.236709,1.869365
0.020000,-12.938726,0.895382,13.415363,3.360130,-0.988485,-36.229226,1.840475
0.020000,-12.955597,0.959742,13.481898,3.326743,-1.669358,-34.043674,1.814240
0.020000,-12.970644,1.023610,13.547515,3.280850,-2.294642,-31.264181,1.790395
0.020000,-12.983996,1.086685,13.611988,3.223648,-2.860092,-28.272474,1.768697
0.020000,-12.995788,1.148701,13.675114,3.156325,-3.366141,-25.302458,1.748931
0.020000,-13.006151,1.209423,13.736714,3.080007,-3.815903,-22.488089,1.730905
0.020000,-13.015211,1.268649,13.796629,2.995730,-4.213839,-19.896799,1.714450
0.020000,-13.023090,1.326200,13.854718,2.904432,-4.564940,-17.555058,1.699415
0.020000,-13.029904,1.381924,13.910857,2.806947,-4.874227,-15.464380,1.685668
0.020000,-13.035762,1.435686,13.964937,2.704017,-5.146482,-13.612716,1.673095
0.020000,-13.040766,1.487371,14.016863,2.596296,-5.386091,-11.980468,1.661591
0.020000,-13.045008,1.536876,14.066550,2.484355,-5.597009,-10.545884,1.651068
0.020000,-13.048578,1.584116,14.113924,2.368701,-5.782734,-9.286291,1.641446
0.020000,-13.051556,1.629013,14.158919,2.249774,-5.946339,-8.180241,1.632655
0.020000,-13.054016,1.671501,14.201479,2.127964,-6.090502,-7.208150,1.624634
0.020000,-13.056025,1.711523,14.241551,2.003613,-6.217540,-6.351902,1.617328
0.020000,-13.057646,1.749028,14.279091,1.877024,-6.329463,-5.596152,1.610691
0.020000,-13.058935,1.783973,14.314061,1.748464,-6.427998,-4.926734,1.604679
0.020000,-13.059944,1.816321,14.346424,1.618171,-6.514631,-4.331662,1.599256
0.020000,-13.060717,1.846038,14.376151,1.486358,-6.590640,-3.800447,1.594389
0.020000,-13.061297,1.873096,14.403216,1.353216,-6.657117,-3.323835,1.590051
0.020000,-13.061719,1.897471,14.427594,1.218916,-6.714996,-2.893966,1.586216
0.020000,-13.062017,1.919141,14.449266,1.083615,-6.765072,-2.503775,1.582862
0.020000,-13.062218,1.938089,14.468215,0.947454,-6.808017,-2.147247,1.579973
0.020000,-13.062347,1.954300,14.484427,0.810566,-6.844399,-1.819103,1.577531
0.020000,-13.062424,1.967761,14.497888,0.673073,-6.874684,-1.514239,1.575525
0.020000,-13.062466,1.978463,14.508590,0.535087,-6.899263,-1.228970,1.573944
0.020000,-13.062487,1.986525,14.516652,0.403081,-6.600298,14.948236,1.572760
0.020000,-13.062496,1.992266,14.522393,0.287091,-5.799517,40.039074,1.571921
0.020000,-13.062499,1.996082,14.526209,0.190782,-4.815447,49.203506,1.571365
0.020000,-13.062500,1.998367,14.528494,0.114235,-3.827383,49.403179,1.571033
0.020000,-13.062500,1.999517,14.529644,0.057499,-2.836800,49.529135,1.570866
0.020000,-13.062500,1.999929,14.530056,0.020602,-1.844816,49.599199,1.570807
0.020000,-13.062500,2.000000,14.530127,0.003558,-0.852202,49.630711,1.570796
0.020000,-13.062500,2.000000,14.530127,0.000000,-0.177909,33.714674,1.570796
