dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-6.359910,-1.937500,6.360000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-6.479910,-1.937500,6.480000,6.000000,0.000000,0.000000,3.141593
0.020000,-6.599910,-1.937500,6.600000,6.000000,0.000000,0.000000,3.141593
0.020000,-6.719910,-1.937500,6.720000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-6.839910,-1.937500,6.840000,6.000000,0.000000,0.000000,3.141593
0.020000,-6.959910,-1.937500,6.960000,6.000000,0.000000,-0.000000,3.141593
0.020000,-7.079910,-1.937500,7.080000,6.000000,0.000000,0.000000,3.141593
0.020000,-7.199910,-1.937500,7.200000,6.000000,0.000000,0.000000,3.141593
0.020000,-7.319910,-1.937500,7.320000,6.000000,0.000000,0.000000,3.141593
0.020000,-7.439910,-1.937500,7.440000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-7.559910,-1.937500,7.560000,6.000000,0.000000,0.000000,3.141593
0.020000,-7.679910,-1.937500,7.680000,6.000000,0.000000,0.000000,3.141593
0.020000,-7.799910,-1.937500,7.800000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-7.919910,-1.937500,7.920000,6.000000,0.000000,0.000000,3.141593
0.020000,-8.039910,-1.937500,8.040000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-8.159910,-1.937500,8.160000,6.000000,0.000000,0.000000,3.141593
0.020000,-8.279910,-1.937500,8.280000,6.000000,0.000000,-0.000000,3.141593
0.020000,-8.399910,-1.937500,8.400000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-8.519910,-1.937500,8.520000,6.000000,0.000000,0.000000,3.141593
0.020000,-8.639910,-1.937500,8.640000,6.000000,0.000000,0.000000,3.141593
0.020000,-8.759910,-1.937500,8.760000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-8.879910,-1.937500,8.880000,6.000000,0.000000,0.000000,3.141593
0.020000,-8.999910,-1.937500,9.000000,6.000000,-0.000000,-0.000000,3.141593
0.020000,-9.109293,-1.938131,9.109385,5.469227,-26.538649,-1326.932471,3.152843
0.020000,-9.220242,-1.939930,9.220349,5.548215,3.949416,1524.403296,3.162480
0.020000,-9.332616,-1.942748,9.332758,5.620468,3.612630,-16.839301,3.170577
0.020000,-9.446343,-1.946437,9.446545,5.689322,3.442692,-8.496923,3.177204
0.020000,-9.561367,-1.950849,9.561653,5.755418,3.304808,-6.894207,3.182422
0.020000,-9.677647,-1.955837,9.678040,5.819360,3.197109,-5.384959,3.186275
0.020000,-9.795157,-1.961253,9.795675,5.881722,3.118075,-3.951667,3.188799
0.020000,-9.913881,-1.966947,9.914536,5.943053,3.066563,-2.575609,3.190013
0.020000,-10.033818,-1.972767,10.034613,6.003889,3.041813,-1.237503,3.189931
0.020000,-10.154975,-1.978557,10.155909,6.064758,3.043457,0.082186,3.188549
0.020000,-10.277371,-1.984157,10.278432,6.126189,3.071518,1.403057,3.185857
0.020000,-10.401034,-1.989398,10.402207,6.188717,3.126412,2.744704,3.181831
0.020000,-10.526003,-1.994106,10.527265,6.252896,3.208944,4.126617,3.176436
0.020000,-10.652326,-1.998093,10.653651,6.319302,3.320305,5.568048,3.169624
0.020000,-10.780060,-2.001160,10.781422,6.388543,3.462056,7.087533,3.161334
0.020000,-10.909271,-2.003091,10.910647,6.461265,3.636103,8.702368,3.151493
0.020000,-11.040033,-2.003652,11.041410,6.538158,3.844647,10.427199,3.140012
0.020000,-11.172428,-2.002585,11.173809,6.619960,4.090092,12.272230,3.126785
0.020000,-11.306544,-1.999606,11.307958,6.707458,4.374892,14.239989,3.111691
0.020000,-11.442474,-1.994397,11.443988,6.801484,4.701308,16.320788,3.094591
0.020000,-11.580312,-1.986605,11.582046,6.902904,5.071020,18.485625,3.075327
0.020000,-11.720150,-1.975831,11.722298,7.012595,5.484549,20.676456,3.053722
0.020000,-11.862069,-1.961627,11.864926,7.131403,5.940398,22.792451,3.029582
0.020000,-12.006133,-1.943487,12.010128,7.260080,6.433836,24.671900,3.002695
0.020000,-12.152374,-1.920843,12.158111,7.399185,6.955240,26.070216,2.972840
0.020000,-12.300775,-1.893062,12.309090,7.548944,7.487946,26.635270,2.939789
0.020000,-12.451246,-1.859444,12.463271,7.709057,8.005672,25.886326,2.903320
0.020000,-12.603597,-1.819229,12.620840,7.878453,8.469813,23.207041,2.863235
0.020000,-12.757499,-1.771613,12.781940,8.054998,8.827256,17.872119,2.819381
0.020000,-12.912452,-1.715782,12.946644,8.235197,9.009942,9.134319,2.771680
0.020000,-13.067744,-1.650958,13.114924,8.413957,8.937964,-3.598901,2.720163
0.020000,-13.222431,-1.576463,13.286614,8.584520,8.528187,-20.488831,2.665003
0.020000,-13.375335,-1.491808,13.461388,8.738714,7.709676,-40.925556,2.606551
0.020000,-13.525076,-1.396774,13.638740,8.867609,6.444769,-63.245378,2.545345
0.020000,-13.670152,-1.291491,13.817993,8.962624,4.750732,-84.701828,2.482111
0.020000,-13.809048,-1.176472,13.998331,9.016887,2.713175,-101.877836,2.417717
0.020000,-13.940223,-1.052754,14.178644,9.015659,-0.061407,-138.729092,2.353195
0.020000,-14.062207,-0.921965,14.357490,8.942295,-3.668188,-180.339077,2.289691
0.020000,-14.173925,-0.786073,14.533409,8.795970,-7.316279,-182.404537,2.228280
0.020000,-14.274832,-0.647129,14.705129,8.585974,-10.499810,-159.176581,2.169840
0.020000,-14.364872,-0.507107,14.871602,8.323681,-13.114657,-130.742335,2.115007
0.020000,-14.444384,-0.367789,15.032013,8.020557,-15.156168,-102.075553,2.064170
0.020000,-14.513990,-0.230715,15.185747,7.686690,-16.693355,-76.859350,2.017504
0.020000,-14.574553,-0.096993,15.332544,7.339862,-17.341381,-32.401301,1.974958
0.020000,-14.627090,0.032778,15.472547,7.000127,-16.986776,17.730245,1.936293
0.020000,-14.672590,0.158282,15.606044,6.674851,-16.263800,36.148803,1.901202
0.020000,-14.711948,0.279333,15.733333,6.364444,-15.520340,37.172994,1.869365
0.020000,-14.745957,0.395841,15.854703,6.068508,-14.796808,36.176634,1.840475
0.020000,-14.775310,0.507780,15.970426,5.786172,-14.116788,34.000966,1.814240
0.020000,-14.800616,0.615165,16.080753,5.516329,-13.492185,31.230189,1.790395
0.020000,-14.822399,0.718039,16.185909,5.257783,-12.927281,28.245166,1.768697
0.020000,-14.841118,0.816462,16.286096,5.009350,-12.421660,25.281072,1.748931
0.020000,-14.857169,0.910500,16.381494,4.769905,-11.972239,22.471053,1.730905
0.020000,-14.870897,1.000224,16.472262,4.538413,-11.574571,19.883378,1.714450
0.020000,-14.882603,1.085706,16.558541,4.313940,-11.223684,17.544377,1.699415
0.020000,-14.892547,1.167013,16.640454,4.095649,-10.914563,15.456013,1.685668
0.020000,-14.900960,1.244212,16.718110,3.882800,-10.642446,13.605865,1.673095
0.020000,-14.908042,1.317364,16.791605,3.674741,-10.402941,11.975233,1.661591
0.020000,-14.913971,1.386529,16.861023,3.470899,-10.192110,10.541583,1.651068
0.020000,-14.918901,1.451758,16.926438,3.270770,-10.006453,9.282821,1.641446
0.020000,-14.922970,1.513101,16.987916,3.073911,-9.842903,8.177532,1.632655
0.020000,-14.926299,1.570604,17.045515,2.879936,-9.698787,7.205766,1.624634
0.020000,-14.928995,1.624306,17.099285,2.688500,-9.571783,6.350233,1.617328
0.020000,-14.931154,1.674246,17.149271,2.499302,-9.459890,5.594618,1.610691
0.020000,-14.932859,1.720456,17.195512,2.312075,-9.361380,4.925521,1.604679
0.020000,-14.934184,1.762967,17.238044,2.126579,-9.274766,4.330709,1.599256
0.020000,-14.935195,1.801806,17.276896,1.942604,-9.198774,3.799612,1.594389
0.020000,-14.935949,1.836997,17.312095,1.759958,-9.132309,3.323210,1.590051
0.020000,-14.936496,1.868561,17.343665,1.578469,-9.074441,2.893393,1.586216
0.020000,-14.936880,1.896518,17.371624,1.397981,-9.024374,2.503363,1.582862
0.020000,-14.937139,1.920884,17.395991,1.218353,-8.981435,2.146938,1.579973
0.020000,-14.937304,1.941672,17.416780,1.039451,-8.945062,1.818656,1.577531
0.020000,-14.937403,1.958895,17.434003,0.861156,-8.914778,1.514210,1.575525
0.020000,-14.937457,1.972562,17.447671,0.683352,-8.890206,1.228620,1.573944
0.020000,-14.937483,1.982843,17.457951,0.514041,-8.465552,21.232678,1.572760
0.020000,-14.937494,1.990158,17.465266,0.365743,-7.414898,52.532714,1.571921
0.020000,-14.937499,1.995015,17.470124,0.242876,-6.143330,63.578411,1.571365
0.020000,-14.937500,1.997922,17.473031,0.145361,-4.875755,63.378723,1.571033
0.020000,-14.937500,1.999385,17.474494,0.073147,-3.610698,63.252874,1.570866
0.020000,-14.937500,1.999909,17.475018,0.026206,-2.347045,63.182650,1.570807
0.020000,-14.937500,2.000000,17.475109,0.004526,-1.084017,63.151398,1.570796
0.020000,-14.937500,2.000000,17.475109,0.000000,-0.226293,42.886170,1.570796
